id,category,gender,baseColour,season,usage,noisyTextDescription
47551,Loungewear and Nightwear,Men,Black,Summer,Casual,BCSB02 by Sweet Dreams Motel Black Pyjama Hypnose
47106,Topwear,Men,Pink,Winter,Formal,Genesis Pink Striped Formal Shirt
17494,Topwear,Men,White,Summer,Casual,French Connection Men Purple Checks MTP-1290D-1A1VDF(A413)
23967,Bags,Unisex,Red,Summer,Casual,Wildcraft To Red Mudra Backpack
28890,Bottomwear,Men,Navy Blue,Fall,Sports,ADIDAS Men Commander Navy Blue Walker
17990,Eyewear,Women,Brown,Winter,Casual,(A378) Women Cats 5000 Sunglasses
32852,Jewellery,Women,Gold,Fall,Ethnic,Royal Diadem L500
57836,Watches,Women,Steel,Winter,Casual,9005 Weast White Dial Egyptian
51583,Belts,Men,Brown,Summer,Casual,United IDEE Cage Benetton Men Brown Belt
21346,Bottomwear,Women,Grey,Summer,Sports,Celebrate Women Junkie Grey Capris
11773,Topwear,Unisex,Brown,Fall,Casual,Safari 820 Printed textile Tshirts
9684,Makeup,Women,Skin,Spring,Casual,Lakme Perfect M119J002Y Intense Sniper Ivory Fair Foundation 01
35131,Shoes,Men,Black,Fall,Formal,Terrae Men's Abraim Black Shoe
14582,Saree,Women,Beige,Summer,Ethnic,Fabindia Beige Jaipur Print Cotton Sari
48456,Innerwear,Women,Cream,Summer,Casual,Elvira Women H01 Combo2 Fashion Hipster Pack of Coast Breifs
38791,Topwear,Men,Grey,Summer,Casual,French Connection P/O PFCP13 T-shirt
15938,Shoes,Men,Navy Blue,Summer,Sports,Reebok Men Navy Blue Fusion Runner Sports Shoes
4427,Topwear,Men,Yellow,Summer,Sports,ADIDAS Men Arrest Yellow Jersey
3461,Topwear,Women,Yellow,Spring,Casual,Wildcraft Women's Organic Cotton Yellow Haile
22165,Eyewear,Men,Steel,Winter,Casual,Ray-Ban Anti High Street Steel Sunglasses
26004,Bags,Unisex,Red,Summer,Casual,Wildcraft Unisex R09 & Grey Backpack
31980,Bags,Women,Black,Winter,Casual,Spice Art Women Black Handbag
38439,Topwear,Women,Orange,Summer,Ethnic,Aurelia Action Oregon Kurta
21287,Shoes,Women,Brown,Winter,Casual,Grendha Women Foil Cigana Brown Tonga
16151,Flip Flops,Women,Blue,Summer,Casual,ADIDAS Women's Sufiya Upper Blue Flip 665
3241,Topwear,Women,Blue,Fall,Casual,Little Miss Women Funny Bikini T-shirt
31307,Topwear,Women,Blue,Summer,Ethnic,Diva Women Blue Kurta
50946,Ties,Men,Navy Blue,Summer,Formal,Allen Solly Men Revenge Blue Tie
27154,Bags,Women,Pink,Summer,Casual,united Women Intermeshed Slipper tote Pink Bags
59403,Topwear,Men,Black,Fall,Formal,Genesis Men Stripes Black Shirts
26184,Shoes,Unisex,Black,Summer,Casual,Puma Unisex Black Hip Needle Shoes
39951,Watches,Women,White,Winter,Casual,Rocks Women White Dial Realflex 9827pp07
13469,Shoes,Men,Silver,Fall,Sports,Puma Men Bolt Y 400 Silver Sports Shoes
1546,Shoes,Men,White,Fall,Casual,Brooklyn Men Trasform White Nouli Series
11493,Eyewear,Men,White,Winter,Casual,Miami Blues G245 Sunglasses
44544,Topwear,Women,Blue,Fall,Ethnic,formal Women Printed Blue Kurta
41533,Shoes,Women,Black,Summer,Casual,Senorita Women Black Wedges
48602,Bags,Women,Black,Spring,Casual,French Water Women Black Winter Vollie Gautier Sling Bag
9155,Bottomwear,Women,Black,Summer,Casual,Only Women Black Shorts
12831,Watches,Unisex,Blue,Winter,Casual,Q&Q Kids Unisex Blue Dial Watch
48504,Saree,Women,Blue,Fall,Ethnic,Caravan Grey Wedding Collection One Minute Saree
12633,Topwear,Men,White,Summer,Casual,United PFPR14 of Benetton Men Solid White Polo Sculpt-Logic
12668,Topwear,Men,Red,Summer,Casual,Allure Men's ES2959 AdiLight Black Budoka
5145,Topwear,Women,White,Summer,Casual,Mumbai Slang Kajal White Printed Top
16053,Topwear,Men,Red,Fall,Casual,Evander and Jony Kids Boys Check Red Shirts
42852,Watches,Men,Black,Winter,Casual,CASIO G-Shock Men Modern Digital Watch G-9300-1DR G342
38984,Watches,Women,Silver,Winter,Casual,Fastrack Women Silver-Toned Kids-Boy Block NA6001SM01
59676,Bottomwear,Men,Navy Blue,Summer,Sports,Sandwichtost Dee Navy Blue Tracksuit
26620,Dress,Women,Black,Summer,Party,Sepia Jewellery Black T90
22687,Fragrance,Men,Blue,Spring,Casual,Nike Fragrances Men Nine Blue Wave Deo Trekking Perfume
46459,Topwear,Men,White,Summer,Casual,ADIDAS Men White Printed T-shirt
59127,Sandal,Men,Tan,Summer,Casual,Clarks Men ComfortSoft Wild Sweat Sandals
39684,Topwear,Men,Black,Fall,Casual,Billuz Men Black NA3039sl01
9002,Shoes,Men,Navy Blue,Summer,Casual,ADIDAS Reezoom Men Sentry Sail Navy Blue 005G
8289,Topwear,Women,Black,Fall,Casual,Wrangler Women Baroque Black T-shirt
10812,Shoes,Women,Blue,Winter,Casual,Catwalk Women Jiff Flats
6119,Topwear,Men,White,Fall,Casual,Wrangler Men Fly The iD White T-Shirts
32780,Topwear,Men,Pink,Summer,Casual,Status Quo Teja Fushia Polo T-shirt
10740,Watches,Men,Silver,Summer,Casual,roxy Hardy Men Finish Dial Watch
7273,Shoes,Men,Grey,Fall,Sports,Fila Men Grey from Black Sports BB
32323,Shoes,Men,Black,Summer,Sports,Quo 4.0 Excitemo TT Black Sports Shoes
52062,Topwear,Men,White,Summer,Casual,French Connection Reefuel White Printed T-shirt
50746,Topwear,Men,Fluorescent Green,Summer,Casual,ADIDAS MenLime Green ADH2653
14341,Shoes,Men,Black,Summer,Casual,Bi-Phased Weeee!! All Star Embark Shoes
19537,Topwear,Men,Red,Summer,Casual,Rima Men Red Lasting Football T-shirt
27328,Bottomwear,Women,Red,Summer,Casual,BIBA OUTLET Women Red Leggings
13853,Sandal,Men,Tan,Winter,Casual,Weaved Men Tan Brown Edifice Sandals
25959,Bags,Women,Pink,Summer,Casual,Rocia Women Pink Enroute
33434,Flip Flops,Men,Navy Blue,Summer,Casual,Numero 911 Men's Grey Ignite Flip Lunarswift
9389,Bottomwear,Girls,Blue,Summer,Casual,Spill Kids Girl's Denim SGW-400H-1BVDR Dark Blood Darkcinde
38332,Lips,Women,Pink,Spring,Casual,Deborah Pink 24 Power Tous Lipstick
13027,Eyewear,Women,Black,Winter,Casual,Pepe Jeans Women Adorable Sunglasses
7539,Topwear,Men,White,Fall,Casual,Hammonds Men White Advent Shirt
2554,Topwear,Men,Blue,Fall,Casual,Silicone PL10813BS-04M Ayaany Blue 1012-102
8217,Topwear,Men,Green,Summer,Formal,Mark Taylor Men Striped Green Shirt
17427,Flip Flops,Women,Orange,Summer,Casual,Lotto Women Coral Elegant Flip Flops
14970,Flip Flops,Men,Grey,Summer,Casual,United Cave of Benetton Grey Bodytrain Flops
5505,Watches,Men,Navy Blue,Winter,Casual,Morellato Men Barr Blue Tracksuit
16284,Topwear,Girls,Pink,Fall,Casual,Doodle Girl's Crazy And Funny Pink Kidswear
58945,Shoes,Men,White,Fall,Casual,F Sports Men White Outlander A379 Shoes
20696,Topwear,Women,Lavender,Summer,Casual,Elle Mar Lavender Lee
28948,Dress,Women,Red,Summer,Casual,Palm Tree Kids Girls Red Saloppette Set
7617,Jewellery,Women,Silver,Summer,Casual,Lucera Women Silver Namaste
33748,Topwear,Men,Black,Fall,Sports,ADIDAS / Solid Black Jackets
26805,Bottomwear,Men,Grey,Summer,Casual,Puma Men's Ess Woven Grey Shorts
18031,Shoes,Men,Blue,Fall,Casual,ID Men Blue Shoes
27849,Eyewear,Women,White,Winter,Casual,Fastrack Women White Sunglasses
38329,Topwear,Women,White,Summer,Ethnic,Mother Earth Women Printed White Kurta
32251,Topwear,Women,Black,Summer,Ethnic,Alma Women Black Printed Kurta
11147,Fragrance,Women,Grey,Spring,Casual,Nike Fragrances Women Surefunk Perfume Coleman PTSP02
11867,Shoes,Men,Black,Fall,Casual,A641 Men Archive Boot Wtr Black Casual Shoes
29129,Makeup,Women,Skin,Spring,Casual,BGSW02 Metro to Five Flawless Creme Shell Compact
48931,Saree,Women,Green,Fall,Ethnic,FNF Green Printed 5000 Caps Sari
25711,Bottomwear,Men,Brown,Summer,Casual,Scullers Men Randa Trousers
11118,Bottomwear,Men,Brown,Fall,Casual,Arrow Sport Men Solid Brown Trousers
22801,Bottomwear,Men,Off White,Summer,Ethnic,relentless Men Off White Churidar
30183,Shoes,Men,Black,Summer,Formal,Franco Leone Men Formal Black Noise Shoes
36442,Shoes,Women,Red,Winter,Casual,Berryshine Women Red Textured
44667,Sandal,Men,Black,Summer,Casual,Franco Leone Men Casual Black Sandals
14357,Watches,Women,Gold,Winter,Casual,Guess Watch Mini Rock Alliance Gold Watch
40955,Shoes,Men,Grey,Winter,Casual,Red Tape Men's Grey Haile Shoe
27991,Shoes,Women,Beige,Winter,Casual,Catwalk Women Casual Beige Flats
35282,Shoes,Men,White,Summer,Sports,ADIDAS Hakan White Vermont Shoes
44560,Topwear,Girls,Pink,Fall,Casual,Basil Girl's I Love Smartoe Rosey Pink Crownjewel
45937,Saree,Women,Maroon,Fall,Ethnic,Reehypnotise Maroon Printed Ajrakh Madson Saree
14601,Bags,Women,Brown,Winter,Casual,Baggit Women Attraction Taj Brown LT.Pink
30897,Bottomwear,Men,Blue,Summer,Casual,Denizen Men Zigsonic Jeans
18572,Topwear,Women,Blue,Summer,Casual,Angry Birds Women Blue P186BR1F
6718,Watches,Men,Black,Winter,Casual,Q&Q Men Black Dial Analogue Osaka Q708J205Y
39743,Fragrance,Women,White,Spring,Casual,Police Women Pure London Uaine ml Perfume
3456,Topwear,Men,Blue,Fall,Casual,Peter England Men Blue Casual T-shirt
10043,Socks,Men,Black,Summer,Casual,Raymond Men Black Perros
33875,Topwear,Women,Brown,Summer,Casual,Ice Women Bella Tunic
4878,Topwear,Men,Black,Summer,Formal,Lino Evolution Men Black & Brown Suspenders
48174,Cufflinks,Men,Copper,Summer,Casual,Hakashi Men Copper Sign
59445,Shoes,Men,Black,Winter,Formal,Chevelle Tape heritage Federer Black Formal Shoes
8342,Innerwear,Women,Cream,Summer,Casual,Beyouty Women B01 Combo2 Fashion Low-Rise Pack of 3 Breifs
33558,Topwear,Women,Peach,Fall,Casual,DUSG Women's Mother & Child Bamboo Sand Turnaround
32643,Watches,Women,Silver,Winter,Casual,Miss Sixty Holiday Dial Watch
33481,Sandal,Men,Brown,Summer,Casual,Red Tape Men Redon Mouse Sandals
15115,Bottomwear,Men,Black,Spring,Sports,ADIDAS Asem Black Shorts
59770,Topwear,Men,White,Summer,Casual,French Connection Men White SX035 T-shirt
38619,Topwear,Men,Grey,Fall,Casual,9922 Men Striped Grey Tshirt
7111,Bottomwear,Men,Grey,Fall,Formal,Genesis Toy Solid Grey Trousers
58282,Watches,Men,Black,Winter,Casual,Casio two Men Black Analogue Multi-Dial Watch MTP-1192E-1ADF(A167)
13207,Free Gifts,Men,Black,Spring,Casual,Rasasi Blacklast Dynamic 22 Deo
29158,Bottomwear,Men,Navy Blue,Summer,Formal,John Miller Men Striped Navy Blue Trousers
52588,Topwear,Men,Maroon,Summer,Formal,Arrow Men Maroon Sleek
44730,Bottomwear,Men,Blue,Summer,Casual,Spykar Men Blue Jeans
1962,Dress,Women,White,Summer,Casual,Wills Lifestyle Women Away Lallu
46263,Eyewear,Men,Gold,Winter,Casual,Gambling Court Aviator Tiptopp
1603,Topwear,Men,Blue,Fall,Casual,Gini and Swish Hmmph Boys Check Distresse Shirts
47333,Lips,Women,Pink,Spring,Casual,Revlon Wo Dew Will Lustrous Lipstick 407
9531,Shoes,Men,Green,Summer,Casual,Fila And Green Fuel HI Shoes
28613,Topwear,Men,Black,Summer,Formal,roxy White-Red Fine Suspenders
56038,Fragrance,Men,Maroon,Spring,Casual,David Beckham Men Intense Instinct Perfume
48510,Watches,Men,Silver,Winter,Casual,Fastrack Men 320 Dial Watch Stealth
4899,Topwear,Women,White,Summer,Casual,Lee Women Solid White Jac
20006,Shoes,Men,Black,Winter,Formal,Mr. Tape Drink Negotiator Shoes
3856,Topwear,Women,Grey,Summer,Casual,ONLY Women Grey Top
18261,Flip Flops,Unisex,Navy Blue,Winter,Casual,Disney Unisex Kids Basic Navy Blue Flip Barricade
41036,Topwear,Men,Blue,Summer,Casual,Tantra Men's Cool Blue T-shirt
35464,Topwear,Women,Blue,Summer,Casual,Valerie Jerse Sleeveless Cowl A446 Blue Top
3356,Shoes,Men,Brown,Summer,Casual,Cruiseon Colors of Benetton leggings Brown Shoes
27760,Bags,Men,Black,Summer,Casual,Puma Men Demi-Cup Photoready Ydc Shoulder Max
2651,Flip Flops,Unisex,Red,Summer,Casual,Gliders Unisex Red Spiner Flip Flops
6795,Belts,Women,Brown,Summer,Casual,Baggit Women N236 Aquahype Brown Belt
32804,Topwear,Men,Blue,Summer,Sports,Nike Nobody Fearless Training Tshirts
35331,Topwear,Men,Red,Summer,Casual,Mr. Men Printed Red T-shirt
8703,Shoes,Men,White,Fall,Sports,ADIDAS Men Obahu Trainer Dude Reefresh Shoes
35136,Bags,Women,Green,Winter,Casual,Wildcraft Women Kurti Wiki Laurel
39452,Bottomwear,Men,Blue,Summer,Casual,Jack & Jones Men Sweaters Vapours
29258,Watches,Men,Steel,Summer,Casual,Fastrack Men Vulcan Brass Watch N9336SL02
40648,Topwear,Women,Orange,Fall,Ethnic,SPF15 Earth Women Printed Orange Kurta
29026,Bags,Women,Brown,Winter,Casual,Baggit Women Umbrella Dum Appeal Handbag
25190,Topwear,Women,White,Fall,Casual,Allure Colors of Benetton Wns White MTP-1302D-1A2VDF(A487)
39122,Shoes,Men,Navy Blue,Fall,Sports,AdiCliff Men Bikini Navy Blue Shoot Sports Shoe
14030,Topwear,Men,Blue,Fall,Formal,Mark Taylor Men Light Blue Thin White & Brown Striped Shirts
29150,Topwear,Men,Grey,Summer,Formal,Kollege Miller Brian Striped Grey Shirt
12077,Topwear,Women,White,Summer,Ethnic,Fabindia Women White Printed Kurta
11966,Topwear,Women,Black,Summer,Casual,Arrow A376 Black Ashna
22304,Sandal,Men,Navy Blue,Summer,Casual,Reebok Men Brandon Blue Coalition Girija
12970,Sandal,Men,Khaki,Winter,Casual,Red Chimp Clear Khaki Krypton
42605,Topwear,Women,Black,Fall,Casual,Crepe Fragrances Women Black Top
17770,Topwear,Men,Red,Fall,Casual,Puma Men Boot Red Baaz
21671,Watches,Women,Pink,Winter,Casual,Bwd Women 661 Dial Piq Affairs
37208,Topwear,Men,Blue,Fall,Formal,Mark Taylor Men Aaren Total
8103,Flip Flops,Men,Black,Fall,Casual,Nike Bra-BGDR01 Chroma Thong II JAG Flip Flops
19872,Shoes,Men,Black,Summer,Formal,Gliders Men Jaded Derby PL12896BSG-04M Shoes
20967,Socks,Men,Black,Fall,Casual,Puma Men Lifestyle Pack bra Everest Socks
46150,Topwear,Boys,Red,Fall,Casual,Doodle Boy's Route Corso Envirosax Tribute Teen Kidswear
5146,Shoes,Women,Brown,Winter,Casual,Viveca Women Brown Keel
56528,Topwear,Women,Blue,Summer,Casual,Romain Women Smock Blue Top
16762,Bottomwear,Men,Grey,Fall,Sports,Nike Men As 7 Sw Temp Grey Gel-Pulse
38328,Topwear,Men,Blue,Fall,Formal,John Miller Men White Striped Blue Shirt
53056,Topwear,Women,Beige,Summer,Casual,Satya Paul Women Corduroy Kurti
57099,Topwear,Men,White,Fall,Casual,Scullers Men White Polo T-Shirts
5155,Watches,Men,Black,Winter,Casual,Titan Men Chronograph Black Dial Watch
22782,Sandal,Men,Black,Summer,Casual,Woodland Men Black Sandals
18490,Shoes,Men,Black,Summer,Formal,Franco Leone Men Trance Formal Shoes
54114,Bags,Women,Orange,Summer,Casual,Puffer ADP1810 79 Orange Handbag
30677,Watches,Men,Silver,Winter,Casual,Munchen Attivo Men Steel-Toned Rider Watch Kinky
10435,Flip Flops,Men,Navy Blue,Summer,Casual,Numero Uno Men Navy Blue Flip Polka
27379,Shoes,Men,Black,Fall,Formal,Leau Men Ayaanay Formal Shoes
45885,Topwear,Men,Red,Summer,Casual,s.Oliver Men's Rassasi State Cacao Red T-shirt
3504,Watches,Men,White,Winter,Casual,Casio Vintage Collection Hs Watch AQ-230A-7DMQAD03
6079,Bottomwear,Women,Grey,Fall,Sports,Puma Women Essential Skinny Grey Track T-
7164,Bags,Women,Navy Blue,Summer,Casual,Baggit Toilet Navy Blue Handbag
15310,Watches,Women,Silver,Winter,Casual,Q&Q Women Mignight Dial Analog Watch
57164,Topwear,Men,Red,Summer,Casual,brown Colors of Benetton A537 Wires Red Latnam
31645,Shoes,Women,White,Fall,Casual,Sylvia Bio Un FS4628 Patent White Sandals
25516,Apparel Set,Women,Black,Fall,Ethnic,Shree Women Antara & PowerCat Bottled Suit with Dupatta
46574,Eyewear,Men,Blue,Winter,Casual,Pass Colors Turbulence Benetton Men Funky Eyewear A631 Sunglasses
53669,Shoes,Women,Gold,Fall,Casual,Carlton London Women Casual Gold ANALOG
6803,Topwear,Men,Grey,Fall,Casual,Flying 206 Men Grey Tshirts
23144,Topwear,Men,Pink,Summer,Formal,John Miller 424 Check Palila Shirt
25443,Shoes,Men,Blue,Summer,Casual,ADIDAS Men's Jawpaw Footfun Kkr
27081,Dress,Women,Black,Summer,Casual,Speed Women Black Dress
13880,Fragrance,Women,Pink,Spring,Casual,Police Women Pure EDT Perfume
34887,Topwear,Women,Purple,Summer,Ethnic,Alma Women Purple Printed Kurta
3236,Topwear,Men,White,Summer,Casual,John Hanes Men Blue A670
13689,Fragrance,Women,White,Spring,Casual,Nike Steady Women Paradise Hermes
30913,Shoes,Men,Blue,Fall,Casual,Nike Men Blue Sneakers
16499,Topwear,Men,Grey,Fall,Sports,Lotto Men Epic Grey T-shirt
27783,Shoes,Men,Black,Fall,Sports,Puma NY3430 Osu NM 0 Hurley Handbags
26549,Eyewear,Unisex,Blue,Winter,Casual,Fastrack Unisex Sport Blue Sunglasses
42818,Lips,Women,Peach,Spring,Casual,Deborah Peach Coloured Sniper Shine 12 VH203-C3 Gloss
2101,Shoes,Men,White,Fall,Casual,405 Uno Men Fan MAYS-9007-202 Allure
55369,Shoes,Men,Black,Spring,Formal,Lee Neemwash Men Formal Caroline Shoes
57199,Ties,Men,Brown,Summer,Casual,Park Croso Men Brown Tie
2724,Sandal,Men,Navy Blue,Summer,Casual,Serenity Men wedges Leatherite Sl Sandal
6564,Wallets,Men,Black,Summer,Casual,Lino Perros 1355 Black Wallet
17227,Topwear,Men,Grey,Fall,Sports,Nike Men Grey Sweatshirt
28046,Fragrance,Women,Green,Spring,Casual,Nike Fragrances Women Urban Musk Franco 75 ml
3303,Jewellery,Women,Silver,Fall,Casual,Rreverie Silver & Green OTLS
56341,Topwear,Men,Purple,Summer,Casual,Tantra Duet Purple Hushed
7906,Topwear,Men,Black,Summer,Casual,French Connection Men Black Mason T-shirt
51710,Makeup,Women,Olive,Spring,Casual,Lakme Absolute Shine Rays Olive Eye Liner
49917,Bags,Women,Beige,Winter,Casual,Lino Perros Wheeler Classic CH2781 Handbag
29299,Bags,Unisex,Black,Fall,Casual,Puma Flamingo Ferrari Replica Black Gradiant
57323,Shoes,Women,White,Winter,Casual,Rocia Women White Heels
16150,Bags,Women,Teal,Fall,Casual,AM4381 Women Teal Sling Bag
